average_flavor_rating,brand_name,link,number_of_flavors,number_of_reviews,overall_rating,price,price_per_serving,product_category,product_description,product_name,top_flavor_rated,verified_buyer_number,verified_buyer_rating
9.1,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/bcaa-energy.html?skuId=EVL4230288,29.0,2575.0,9.4,19.99,0.67,BCAAs,BCAA Powder with Natural Energizers Sourced from Green Coffee and Green Tea To Support Focus and Recovery*,BCAA Energy,Pink Starblast,1594,9.0
8.4,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/whey.html?skuId=OPT302,43.0,9926.0,9.3,57.99,0.79,Build Muscle Products,24g of Whey Protein with Amino Acids for Muscle Recovery and Growth*,Gold Standard 100% Whey,Unflavored,3932,9.0
8.3,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/pre-jym.html?skuId=JYM4910066,9.0,3947.0,9.1,48.99,1.63,Improve Workout Products,Pre-Workout Powder Powerhouse Packed with 13-Hand Picked Ingredients to Support Improved Workouts*,Pre JYM,Raspberry Lemonade,3471,9.0
,Optimum Nutrition,https://sa.bodybuilding.com/store/opt/essential-amino-energy.html?skuId=OPT1900064,,2466.0,9.1,18.99,0.63,Amino Acids,Amino Acid Powder with Caffeine from Natural Sources!,Essential AmiN.O. Energy,Unknown,Unknown,
8.7,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/pro-jym.html?skuId=JYM5570006,14.0,2506.0,9.2,56.98,1.1,Whey Protein Isolate,"24g of Pure, Quality Protein in Every Scoop with No Added Amino Acids or Filler Nutrients",Pro JYM,S'mores,2275,9.0
,MuscleTech,https://sa.bodybuilding.com/store/muscletech/essential-series-platinum-100-creatine.html?skuId=MT2320202,,895.0,9.5,7.55,0.09,Creatine Monohydrate,5g of Micronized Creatine to Support Lean Muscle and Increase Strength*,Platinum 100% Creatine,Unknown,Unknown,
,JYM Supplement Science,https://sa.bodybuilding.com/store/jym/post-jym.html?skuId=JYM4910043,,1356.0,9.5,30.39,1.01,Build Muscle Products,"Powerful Cocktail Designed to Help Boost Repair, Maximize Recovery, and Build Muscle*",Post JYM Active Matrix,Unknown,Unknown,
9.1,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/engn-shred.html?skuId=EVL4860177,6.0,1275.0,9.3,34.99,1.17,Betaine Anhydrous,Advanced Pre-Workout + Weight Management,ENGN Shred,Pink Lemonade,658,9.0
9.3,EVLUTION NUTRITION,https://sa.bodybuilding.com/store/evlution-nutrition/engn.html?skuId=EVL4040237,12.0,3414.0,9.1,29.99,1.0,Improve Workout Products,"Intense Pre-Workout Powder for Increased Energy, Power, & Focus*",ENGN,Pineapple,1924,9.0
,BSN,https://sa.bodybuilding.com/store/bsn/synth.html?skuId=BSN158,,3920.0,9.2,44.99,0.94,Whey Protein,"22g of an Ultra-Premium Blended Protein Formula for Use Anytime, Day or Night",Syntha-6,Unknown,Unknown,
